ASTAR: Stopping Powers and Range Tables for Alpha Particles,
,
ARGON                                                                   ,
,
Kinetic  ,CSDA     
Energy   ,Range    
MeV      ,g/cm2    
,
1.00E-03,1.66E-05
1.50E-03,2.23E-05
2.00E-03,2.75E-05
2.50E-03,3.24E-05
3.00E-03,3.70E-05
4.00E-03,4.54E-05
5.00E-03,5.32E-05
6.00E-03,6.03E-05
7.00E-03,6.71E-05
8.00E-03,7.34E-05
9.00E-03,7.95E-05
1.00E-02,8.52E-05
1.25E-02,9.85E-05
1.50E-02,1.11E-04
1.75E-02,1.22E-04
2.00E-02,1.32E-04
2.25E-02,1.42E-04
2.50E-02,1.51E-04
2.75E-02,1.60E-04
3.00E-02,1.68E-04
3.50E-02,1.83E-04
4.00E-02,1.97E-04
4.50E-02,2.11E-04
5.00E-02,2.23E-04
5.50E-02,2.35E-04
6.00E-02,2.46E-04
6.50E-02,2.56E-04
7.00E-02,2.66E-04
7.50E-02,2.76E-04
8.00E-02,2.85E-04
8.50E-02,2.94E-04
9.00E-02,3.03E-04
9.50E-02,3.11E-04
1.00E-01,3.20E-04
1.25E-01,3.57E-04
1.50E-01,3.90E-04
1.75E-01,4.21E-04
2.00E-01,4.49E-04
2.25E-01,4.75E-04
2.50E-01,5.00E-04
2.75E-01,5.24E-04
3.00E-01,5.47E-04
3.50E-01,5.90E-04
4.00E-01,6.32E-04
4.50E-01,6.71E-04
5.00E-01,7.10E-04
5.50E-01,7.48E-04
6.00E-01,7.86E-04
6.50E-01,8.24E-04
7.00E-01,8.62E-04
7.50E-01,9.00E-04
8.00E-01,9.38E-04
8.50E-01,9.77E-04
9.00E-01,1.02E-03
9.50E-01,1.06E-03
1.00E+00,1.10E-03
1.25E+00,1.31E-03
1.50E+00,1.54E-03
1.75E+00,1.79E-03
2.00E+00,2.05E-03
2.25E+00,2.34E-03
2.50E+00,2.64E-03
2.75E+00,2.95E-03
3.00E+00,3.29E-03
3.50E+00,4.00E-03
4.00E+00,4.79E-03
4.50E+00,5.63E-03
5.00E+00,6.54E-03
5.50E+00,7.51E-03
6.00E+00,8.54E-03
6.50E+00,9.62E-03
7.00E+00,1.08E-02
7.50E+00,1.20E-02
8.00E+00,1.32E-02
8.50E+00,1.45E-02
9.00E+00,1.59E-02
9.50E+00,1.73E-02
1.00E+01,1.87E-02
1.25E+01,2.68E-02
1.50E+01,3.61E-02
1.75E+01,4.66E-02
2.00E+01,5.82E-02
2.50E+01,8.48E-02
2.75E+01,9.97E-02
3.00E+01,1.16E-01
3.50E+01,1.51E-01
4.00E+01,1.90E-01
4.50E+01,2.33E-01
5.00E+01,2.79E-01
5.50E+01,3.30E-01
6.00E+01,3.84E-01
6.50E+01,4.42E-01
7.00E+01,5.03E-01
7.50E+01,5.68E-01
8.00E+01,6.37E-01
8.50E+01,7.08E-01
9.00E+01,7.84E-01
9.50E+01,8.62E-01
1.00E+02,9.44E-01
1.25E+02,1.40E+00
1.50E+02,1.94E+00
1.75E+02,2.54E+00
2.00E+02,3.23E+00
2.25E+02,3.97E+00
2.50E+02,4.79E+00
2.75E+02,5.67E+00
3.00E+02,6.61E+00
3.50E+02,8.68E+00
4.00E+02,1.10E+01
4.50E+02,1.35E+01
5.00E+02,1.62E+01
5.50E+02,1.92E+01
6.00E+02,2.23E+01
6.50E+02,2.56E+01
7.00E+02,2.90E+01
7.50E+02,3.27E+01
8.00E+02,3.64E+01
8.50E+02,4.04E+01
9.00E+02,4.45E+01
9.50E+02,4.87E+01
1.00E+03,5.31E+01